	Jan		Feb		Mar		Apr		May		Jun		Jul		Aug		Sep		Oct		Nov		Dec
  5.5531600e+01   4.9160900e+01   4.0303700e+01   3.0630300e+01   2.3932600e+01   1.9984400e+01   1.8280700e+01   2.0362100e+01   2.8345200e+01   3.9262500e+01   4.9708200e+01   5.5680600e+01
  5.3773200e+01   4.7400300e+01   3.8615600e+01   2.9196600e+01   2.2982300e+01   1.9525700e+01   1.7864100e+01   1.9483700e+01   2.7053800e+01   3.7777900e+01   4.8097500e+01   5.3977300e+01
  5.2021100e+01   4.5647700e+01   3.6944200e+01   2.7813000e+01   2.2146700e+01   1.9236400e+01   1.7635700e+01   1.8750000e+01   2.5831100e+01   3.6325600e+01   4.6502600e+01   5.2282800e+01
  5.0276500e+01   4.3904400e+01   3.5292200e+01   2.6487500e+01   2.1439500e+01   1.9124300e+01   1.7603000e+01   1.8178700e+01   2.4687300e+01   3.4909800e+01   4.4925700e+01   5.0598300e+01
  4.8540000e+01   4.2171400e+01   3.3662200e+01   2.5229200e+01   2.0873500e+01   1.9192400e+01   1.7767000e+01   1.7785400e+01   2.3633900e+01   3.3535000e+01   4.3368600e+01   4.8924900e+01
  4.6812500e+01   4.0449900e+01   3.2057800e+01   2.4048800e+01   2.0460600e+01   1.9438800e+01   1.8122300e+01   1.7582100e+01   2.2683400e+01   3.2206700e+01   4.1833600e+01   4.7263800e+01
  4.5095300e+01   3.8741900e+01   3.0483000e+01   2.2958300e+01   2.0210200e+01   1.9857000e+01   1.8658000e+01   1.7575300e+01   2.1849600e+01   3.0930800e+01   4.0323500e+01   4.5616500e+01
  4.3389600e+01   3.7049100e+01   2.8942800e+01   2.1971100e+01   2.0128300e+01   2.0436300e+01   1.9359200e+01   1.7765400e+01   2.1146100e+01   2.9714300e+01   3.8841100e+01   4.3984600e+01
  4.1696800e+01   3.5373600e+01   2.7442800e+01   2.1101800e+01   2.0217100e+01   2.1163500e+01   2.0208600e+01   1.8146100e+01   2.0586400e+01   2.8564600e+01   3.7389900e+01   4.2369900e+01
  4.0018800e+01   3.3718200e+01   2.5990400e+01   2.0365600e+01   2.0474200e+01   2.2024000e+01   2.1188300e+01   1.8705700e+01   2.0182400e+01   2.7490500e+01   3.5973800e+01   4.0774700e+01
  3.8357400e+01   3.2086100e+01   2.4593800e+01   1.9777200e+01   2.0893400e+01   2.3002600e+01   2.2281200e+01   1.9428800e+01   1.9943700e+01   2.6501000e+01   3.4597100e+01   3.9201400e+01
